Project,Class,Pattern
jbehave-core,AbstractStepsFactory,AbstractFactory
jbehave-core,CompositeStepsFactory,AbstractFactory
jbehave-core,InjectableStepsFactory,AbstractFactory
jbehave-core,InstanceStepsFactory,AbstractFactory
jbehave-core,ProvidedStepsFactory,AbstractFactory
jbehave-core,GroovyStepsFactory,AbstractFactory
jbehave-core,GuiceStepsFactory,AbstractFactory
jbehave-core,PicoStepsFactory,AbstractFactory
jbehave-core,ScalaStepsFactory,AbstractFactory
jbehave-core,SpringStepsFactory,AbstractFactory
jbehave-core,WeldStepsFactory,AbstractFactory
Generic-Graph-View,InstancemodelFactory,AbstractFactory
Generic-Graph-View,InstancemodelFactoryImpl,AbstractFactory
Generic-Graph-View,GraphViewMappingFactory,AbstractFactory
Generic-Graph-View,GraphViewMappingFactoryImpl,AbstractFactory
Generic-Graph-View,GraphViewStyleFactory,AbstractFactory
Generic-Graph-View,GraphViewStyleFactoryImpl,AbstractFactory
refactoring_guru,GUIFactory,AbstractFactory
refactoring_guru,MacOSFactory,AbstractFactory
refactoring_guru,WindowsFactory,AbstractFactory
java-design-patterns-master,OrcKingdomFactory,AbstractFactory
java-design-patterns-master,KingdomFactory,AbstractFactory
java-design-patterns-master,ElfKingdomFactory,AbstractFactory
java-design-patterns,AbstractFactory,AbstractFactory
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,OracleRegistrationDAOFactory,AbstractFactory
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
java-patterns,RegistrationDAOFactory,AbstractFactory
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,OracleRegistrationDAOFactory,AbstractFactory
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
java-patterns,RegistrationDAOFactory,AbstractFactory
jpatterns,AbstractFactoryPattern,AbstractFactory
A7B36ASS,AbstractFactory,AbstractFactory
A7B36ASS,StudentFactory,AbstractFactory
A7B36ASS,TeacherFactory,AbstractFactory
milton,ResourceFactoryFactory,AbstractFactory
milton,HrResourceFactoryFactory,AbstractFactory
milton,SpringResourceFactoryFactory,AbstractFactory
james,RestrictingRMISocketFactory,AbstractFactory
james,RMISocketFactory,AbstractFactory
DimSim,RTMPCodecFactory,AbstractFactory
DimSim,RTMPMinaCodecFactory,AbstractFactory
DimSim,RTMPTCodecFactory,AbstractFactory
DimSim,SimpleProtocolCodecFactory,AbstractFactory
DimSim,RemotingCodecFactory,AbstractFactory
java-game-server,UDPChannelPipelineFactory,AbstractFactory
jabylon,UsersFactory,AbstractFactory
jabylon,UsersFactoryImpl,AbstractFactory
cayenne,WidgetFactory,AbstractFactory
cayenne,DefaultWidgetFactory,AbstractFactory
Mavenized-Wave-In-A-Box,ViewFactory,AbstractFactory
ASEME,IACFactory,AbstractFactory
ASEME,IACFactoryImpl,AbstractFactory
ASEME,StatechartFactory,AbstractFactory
ASEME,StatechartFactoryImpl,AbstractFactory
ASEME,SRMFactory,AbstractFactory
ASEME,SRMFactoryImpl,AbstractFactory
ASEME,AIPFactory,AbstractFactory
ASEME,AIPFactoryImpl,AbstractFactory
ASEME,SUCFactory,AbstractFactory
ASEME,SUCFactoryImpl,AbstractFactory
see,NumberFactory,AbstractFactory
see,IntegerFactory,AbstractFactory
see,BigDecimalFactory,AbstractFactory
see,DoubleFactory,AbstractFactory
see,LocalizedBigDecimalFactory,AbstractFactory
petals-studio,JmsFactoryImpl,AbstractFactory
petals-studio,JmsFactory,AbstractFactory
petals-studio,Filetransfer2xFactory,AbstractFactory
petals-studio,Filetransfer2xFactoryImpl,AbstractFactory
petals-studio,MailFactory,AbstractFactory
petals-studio,MailFactoryImpl,AbstractFactory
petals-studio,Filetransfer3Factory,AbstractFactory
petals-studio,Filetransfer3FactoryImpl,AbstractFactory
petals-studio,Cdk5Factory,AbstractFactory
petals-studio,Cdk5FactoryImpl,AbstractFactory
petals-studio,JbiFactoryImpl,AbstractFactory
petals-studio,JbiFactory,AbstractFactory
zk,IDOMFactory,AbstractFactory
zk,DefaultIDOMFactory,AbstractFactory
zk,UiFactory,AbstractFactory
zk,AbstractUiFactory,AbstractFactory
ocl,AbapmappingFactory,AbstractFactory
ocl,AbapmappingFactoryImpl,AbstractFactory
ocl,CompleteOCLCSTFactory,AbstractFactory
ocl,CompleteOCLCSTFactoryImpl,AbstractFactory
ocl,XsdFactory,AbstractFactory
ocl,XsdFactoryImpl,AbstractFactory
ocl,UnresolvedFactory,AbstractFactory
ocl,UnresolvedFactoryImpl,AbstractFactory
ocl,AbapdictionaryFactory,AbstractFactory
ocl,AbapdictionaryFactoryImpl,AbstractFactory
ocl,OCLinEcoreCSTFactory,AbstractFactory
ocl,OCLinEcoreCSTFactoryImpl,AbstractFactory
ocl,ExpressionsFactory,AbstractFactory
ocl,ExpressionsFactoryImpl,AbstractFactory
ocl,ConstraintsFactory,AbstractFactory
ocl,QuantitystructureFactory,AbstractFactory
ocl,QuantitystructureFactoryImpl,AbstractFactory
ChenSun,ReflectiveStatementInterceptorAdapter,Adapter
ChenSun,V1toV2StatementInterceptorAdapter,Adapter
accent,ChannelListenerAdapter,Adapter
ccw,ClojureLineBreakpointAdapter,Adapter
HunApkNotifier,HunApkListAdapter,Adapter
pcgen-svn,PopupMouseAdapter,Adapter
pcgen-svn,ListDataAdapter,Adapter
pcgen-svn,TreeTableModelAdapter,Adapter
cw-omnibus,ContentsAdapter,Adapter
basiclti-portlet,AbstractAdapter,Adapter
basiclti-portlet,ChemvantageAdapter,Adapter
basiclti-portlet,IBasicLTIAdapter,Adapter
basiclti-portlet,NoteflightAdapter,Adapter
basiclti-portlet,PeoplesoftAdapter,Adapter
basiclti-portlet,SakaiAdapter,Adapter
basiclti-portlet,StandardAdapter,Adapter
basiclti-portlet,WikispacesAdapter,Adapter
basiclti-portlet,WimbaAdapter,Adapter
Dual-Battery-Widget,IntentReceiver,Adapter
Dual-Battery-Widget,BatteryLevelAdapter,Adapter
WhartonEventScheduler,EventListCursorAdapter,Adapter
WhartonEventScheduler,PeopleCursorAdapter,Adapter
archaius,ExpandedConfigurationListenerAdapter,Adapter
DownloadProvider,DateSortedDownloadAdapter,Adapter
DownloadProvider,DateSortedExpandableListAdapter,Adapter
DownloadProvider,DownloadAdapter,Adapter
cdo,CDOLazyContentAdapter,Adapter
cdo,CDOLegacyAdapter,Adapter
cdo,CDOCommonEventAdapter,Adapter
cdo,DawngenmodelItemProviderAdapterFactory,Adapter
cdo,CDOItemProviderAdapter,Adapter
cdo,CDODefsAdapterFactory,Adapter
cdo,EresourceItemProviderAdapterFactory,Adapter
cdo,EmbeddedDerbyAdapter,Adapter
cdo,H2Adapter,Adapter
cdo,HSQLDBAdapter,Adapter
cdo,PostgreSQLAdapter,Adapter
cdo,ContainerEventAdapter,Adapter
cdo,DNDDropAdapter,Adapter
SWE12-Drone,PrototypeBrickAdapter,Adapter
gson,ProtoTypeAdapter,Adapter
Catroid,PrototypeBrickAdapter,Adapter
platform_frameworks_base,AnimatorListenerAdapter,Adapter
spring-batch,ItemWriterAdapter,Adapter
spring-batch,ItemReaderAdapter,Adapter
cdk,RendererAdapter,Adapter
cdk,NormalizedStringAdapter,Adapter
cdk,AdapterBase,Adapter
cdk,AttributeAdapter,Adapter
cdk,BehaviorAdapter,Adapter
cdk,BehaviorRendererAdapter,Adapter
cdk,ClassAdapter,Adapter
cdk,ComponentAdapter,Adapter
cdk,ConverterAdapter,Adapter
cdk,ElementAdapterBase,Adapter
cdk,EventAdapter,Adapter
cdk,FacesConfigAdapter,Adapter
cdk,FacetAdapter,Adapter
cdk,PropertyAdapter,Adapter
cdk,RendererAdapter,Adapter
cdk,ValidatorAdapter,Adapter
HunApkNotifier,HunApkListAdapter,Adapter
Mobile-Tour-Guide,BookmarkAdapter,Adapter
ant,TypeAdapter,Adapter
ant,RmicAdapter,Adapter
ant,DefaultRmicAdapter,Adapter
ant,Native2AsciiAdapter,Adapter
ant,JspCompilerAdapter,Adapter
ant,ExtensionAdapter,Adapter
ant,TaskAdapter,Adapter
teiid-designer,SearchRuntimeAdapter,Adapter
teiid-designer,CustomDiagramActionAdapter,Adapter
cdt,CDTViewerDropAdapter,Adapter
cdt,TextViewerDragAdapter,Adapter
cdt,DelegatingDropAdapter,Adapter
cdt,LocationAdapter,Adapter
cdt,CodeReaderAdapter,Adapter
cdt,PDOMASTAdapter,Adapter
cdt,ProjectIndexerInputAdapter,Adapter
cdt,IndexerInputAdapter,Adapter
cdt,LocationAdapter,Adapter
cdt,BinaryObjectAdapter,Adapter
cdt,WorkbenchRunnableAdapter,Adapter
cdt,MultiBuildConsoleAdapter,Adapter
cdt,CWorkbenchAdapter,Adapter
cdt,DeferredCWorkbenchAdapter,Adapter
cdt,BasicSelectionTransferDragAdapter,Adapter
cdt,CDTViewerDragAdapter,Adapter
cdt,CDTViewerDropAdapter,Adapter
cdt,DelegatingDragAdapter,Adapter
cdt,DocumentAdapter,Adapter
cdt,MITTYAdapter,Adapter
cdt,IListAdapter,Adapter
Lord-of-Ultima-Manager,CityAdapter,Adapter
Lord-of-Ultima-Manager,SessionAdapter,Adapter
Lord-of-Ultima-Manager,TradeAdapter,Adapter
Lord-of-Ultima-Manager,TradeRequestAdapter,Adapter
Lord-of-Ultima-Manager,TroopAdapter,Adapter
java-design-patterns,FishingBoatAdapter,Adapter
java-design-patterns-master,FishingBoatAdapter,Adapter
jbehave-core,AuthenticationPolicyBuilder,Builder
jbehave-core,UserBuilder,Builder
jbehave-core,AnnotationBuilder,Builder
jbehave-core,StoryReporterBuilder,Builder
jbehave-core,PatternVariantBuilder,Builder
jbehave-core,GroovyAnnotationBuilder,Builder
jbehave-core,GroovyAnnotationBuilderBehaviour,Builder
jbehave-core,GuiceAnnotationBuilder,Builder
jbehave-core,PicoAnnotationBuilder,Builder
jbehave-core,PicoAnnotationBuilderBehaviour,Builder
jbehave-core,SpringAnnotationBuilder,Builder
jbehave-core,SpringStoryReporterBuilder,Builder
jbehave-core,SpringStoryReporterBuilderBehaviour,Builder
jbehave-core,WeldAnnotationBuilder,Builder
ccw,ClojureBuilder,Builder
ccw,LeiningenBuilder,Builder
pcgen-svn,TermEvaluatorBuilder,Builder
pcgen-svn,TermEvaluatorBuilderEQVar,Builder
pcgen-svn,TermEvaluatorBuilderPCStat,Builder
pcgen-svn,TermEvaluatorBuilderPCVar,Builder
pcgen-svn,EqBuilder,Builder
dozer,DozerBuilder,Builder
dozer,TypeMappingBuilder,Builder
dozer,BeanMappingBuilder,Builder
dozer,ClassMapBuilder,Builder
cdt,AutotoolsConfigurationBuilder,Builder
cdt,AsmModelBuilder,Builder
cruisecontrol,Builder,Builder
cruisecontrol,PhingBuilder,Builder
cruisecontrol,RakeBuilder,Builder
cruisecontrol,ExecBuilder,Builder
cruisecontrol,NantBuilder,Builder
cruisecontrol,CompositeBuilder,Builder
cruisecontrol,XcodeBuilder,Builder
cruisecontrol,Maven2Builder,Builder
cxf,JAXWSDefinitionBuilder,Builder
cxf,ServiceWSDLBuilder,Builder
cxf,StaxBuilder,Builder
cxf,MTOMAssertionBuilder,Builder
cxf,EndpointReferenceDomainExpressionBuilder,Builder
cxf,JaxbAssertionBuilder,Builder
cxf,AddressingAssertionBuilder,Builder
cxf,RM11AssertionBuilder,Builder
cdo,VersionBuilder,Builder
fafdtibb,FastNodeBuilderFactory,Builder
fafdtibb,FatNodeBuilderFactory,Builder
fafdtibb,FuriousNodeBuilderFactory,Builder
fafdtibb,MapperTreeBuilder,Builder
fafdtibb,LimitModeTreeBuilderFactory,Builder
pellet,ELTaxonomyBuilder,Builder
pellet,OntBuilder,Builder
teiid-designer,VdbModelBuilder,Builder
geotoolkit-pending,RandomStyleBuilder,Builder
mongkie,EnrichmentBuilder,Builder
cdk,AptBuilder,Builder
cdk,LibraryBuilder,Builder
cdk,ModelBuilder,Builder
coala,PdqMessageBuilderImpl,Builder
coala,CDABuilder,Builder
coala,DocumentEntryBuilder,Builder
coala,PdqMessageBuilderImpl,Builder
coala,PdqRouteBuilder,Builder
cdt,CElementDeltaBuilder,Builder
cdt,CModelBuilder2,Builder
cdt,ACBuilder,Builder
cdt,CodanBuilder,Builder
cdt,ControlFlowGraphBuilder,Builder
jamendo-android,DownloadJobBuilder,Builder
jamendo-android,ReviewBuilder,Builder
jamendo-android,AlbumBuilder,Builder
jamendo-android,PlaylistBuilder,Builder
jamendo-android,TrackBuilder,Builder
jamendo-android,ArtistBuilder,Builder
jamendo-android,LicenseBuilder,Builder
jamendo-android,RadioBuilder,Builder
jamendo-android,RadioDatabaseBuilder,Builder
jamendo-android,AlbumDatabaseBuilder,Builder
jamendo-android,TrackDatabaseBuilder,Builder
pellet,FSMBuilder,Builder
pellet,GenericTaxonomyBuilder,Builder
soapui,EmptyPanelBuilder,Builder
soapui,RestRequestPanelBuilder,Builder
soapui,RestMethodPanelBuilder,Builder
hazelcast-cluster-monitor,QueuePageBuilder,Builder
hazelcast-cluster-monitor,MapPageBuilder,Builder
maven-3,DefaultModelBuilder,Builder
maven-3,DefaultSettingsBuilder,Builder
maven-3,LifecycleWeaveBuilder,Builder
maven-3,DefaultToolchainsBuilder,Builder
maven-3,MavenSettingsBuilder,Builder
maven-3,DefaultProjectBuilder,Builder
de-webapp,AbstractContextBuilder,Builder
de-webapp,AnalysisContextBuilder,Builder
biojava-legacy,BioSQLRichObjectBuilder,Builder
biojava-legacy,SearchBuilder,Builder
biojava-legacy,SequenceBuilder,Builder
biojava-legacy,SimpleAssemblyBuilder,Builder
emf.compare,DiffBuilder,Builder
refactoring_guru,Builder,Builder
refactoring_guru,CarBuilder,Builder
jbehave-core,EmbedderMonitorDecorator,Decorator
jbehave-core,StepFailureDecoratorBehaviour,Decorator
spring-stringtemplate,StringTemplateDecoratorServlet,Decorator
pcgen-svn,ModifyChoiceDecorator,Decorator
pcgen-svn,QualifiedDecorator,Decorator
tapestry-bootstrap,BootStrapValidationDecorator,Decorator
orion.server,GitFileDecorator,Decorator
cdt,CElementDecorator,Decorator
cdt,BuildConsoleStreamDecorator,Decorator
cdt,CNavigatorProblemsLabelDecorator,Decorator
cdt,ExcludedFileDecorator,Decorator
cdt,IncludeFolderDecorator,Decorator
cdt,ProblemsLabelDecorator,Decorator
cdt,CElementDecorator,Decorator
cdt,UpdatePolicyDecorator,Decorator
cruisecontrol,LogFileSetupDecorator,Decorator
cfeclipse,URLDecorator,Decorator
cfeclipse,URLDecoratorDescriptor,Decorator
cfeclipse,URLDecoratorImageDescriptor,Decorator
cfeclipse,URLDecoratorManager,Decorator
cfeclipse,ConfigFileDecorator,Decorator
cfeclipse,ImageDecorator,Decorator
frostwire-desktop,Decorator,Decorator
frostwire-desktop,Decorator,Decorator
fuzzydb,IDecorator,Decorator
fuzzydb,Decorator,Decorator
fuzzydb,DateDecorator,Decorator
fuzzydb,AgeDecorator,Decorator
fuzzydb,BooleanDecorator,Decorator
ant,ResourceDecorator,Decorator
teiid-designer,MappingLabelDecorator,Decorator
fest-reflect,DecoratorInvocationHandler,Decorator
fest-reflect,PostDecorator,Decorator
fest-reflect,PreDecorator,Decorator
mongkie,DecoratorItem,Decorator
mongkie,TableDecoratorItem,Decorator
mongkie,SimpleDefaultDecorator,Decorator
mongkie,DecoratorLayout,Decorator
mongkie,DecoratorLabelRenderer,Decorator
freemind,ConditionNotSatisfiedDecorator,Decorator
freemind,ExtendedAttributeTableModelDecorator,Decorator
freemind,ReducedAttributeTableModelDecorator,Decorator
molgenis_apps,BiobankDecorator,Decorator
molgenis_apps,DBIndexUpdateDecorator,Decorator
molgenis_apps,MeasurementDecorator,Decorator
molgenis_apps,MeasurementDecorator,Decorator
molgenis_apps,FlowcellDecorator,Decorator
molgenis_apps,LibraryLaneDecorator,Decorator
molgenis_apps,IdentifiableDecorator,Decorator
molgenis_apps,MolgenisFileDecorator,Decorator
molgenis_apps,NameableDecorator,Decorator
molgenis_apps,TaskDecorator,Decorator
molgenis_apps,EditableTableDecorator,Decorator
molgenis_apps,AuthorizableDecorator,Decorator
molgenis_apps,MolgenisUserDecorator,Decorator
molgenis_apps,MolgenisFileDecorator,Decorator
molgenis_apps,NameableDecorator,Decorator
molgenis_apps,DataDecorator,Decorator
molgenis_apps,MeasurementDecorator,Decorator
molgenis_apps,DataDecorator,Decorator
molgenis_apps,MeasurementDecorator,Decorator
molgenis_apps,MolgenisFileDecorator,Decorator
molgenis_apps,NameableDecorator,Decorator
flume_1,DigestDecorator,Decorator
flume_1,EventSinkDecorator,Decorator
flume_1,FormatterDecorator,Decorator
flume_1,MaskDecorator,Decorator
flume_1,SelectDecorator,Decorator
flume_1,BatchingDecorator,Decorator
flume_1,GunzipDecorator,Decorator
flume_1,GzipDecorator,Decorator
flume_1,UnbatchingDecorator,Decorator
flume_1,BenchmarkInjectDecorator,Decorator
flume_1,BenchmarkReportDecorator,Decorator
flume_1,BloomCheckDecorator,Decorator
flume_1,ChokeDecorator,Decorator
flume_1,DelayDecorator,Decorator
flume_1,InMemoryDecorator,Decorator
flume_1,InsistentAppendDecorator,Decorator
flume_1,InsistentOpenDecorator,Decorator
flume_1,LatchedDecorator,Decorator
flume_1,LazyOpenDecorator,Decorator
flume_1,MultiplierDecorator,Decorator
flume_1,ReorderDecorator,Decorator
flume_1,ValueDecorator,Decorator
flume_1,ExceptionTwiddleDecorator,Decorator
flume_1,HelloWorldDecorator,Decorator
wayback,MementoReplayRendererDecorator,Decorator
wayback,ReplayRendererDecorator,Decorator
wayback,MementoReplayRendererDecorator,Decorator
Get-Another-Label,DatumDecorator,Decorator
Get-Another-Label,DawidSkeneDecorator,Decorator
Get-Another-Label,Decorator,Decorator
Get-Another-Label,WorkerDecorator,Decorator
magic-config,DoubleTagDecorator,Decorator
magic-config,SingleTagDecorator,Decorator
magic-config,TagDecorator,Decorator
magic-config,TripleTagDecorator,Decorator
magic-config,DecoratorFactoryImpl,Decorator
sitemesh2,AbstractDecoratorMapper,Decorator
jbehave-core,User,Facade
jbehave-core,Embedder,Facade
jbehave-core,ParameterConverters,Facade
ccw,ClojureCore,Facade
pcgen-svn,InfoFactory,Facade
pcgen-svn,KitFacade,Facade
pcgen-svn,LanguageChooserFacade,Facade
pcgen-svn,LanguageFacade,Facade
pcgen-svn,LoadableFacade,Facade
pcgen-svn,PartyFacade,Facade
pcgen-svn,RaceFacade,Facade
pcgen-svn,ReferenceFacade,Facade
pcgen-svn,SizeFacade,Facade
pcgen-svn,SkillFacade,Facade
pcgen-svn,SourceSelectionFacade,Facade
pcgen-svn,SpellFacade,Facade
pcgen-svn,SpellSupportFacade,Facade
pcgen-svn,StatFacade,Facade
pcgen-svn,TempBonusFacade,Facade
pcgen-svn,TemplateFacade,Facade
pcgen-svn,TodoFacade,Facade
pcgen-svn,UIDelegate,Facade
pcgen-svn,AbstractListFacade,Facade
pcgen-svn,DefaultListFacade,Facade
pcgen-svn,DelegatingListFacade,Facade
pcgen-svn,ListFacade,Facade
pcgen-svn,ListFacades,Facade
pcgen-svn,SortedListFacade,Facade
pcgen-svn,XPTableFacade,Facade
pcgen-svn,SimpleFacadeImpl,Facade
pcgen-svn,CharacterLevelFacadeImpl,Facade
pcgen-svn,DescriptionFacadeImpl,Facade
pcgen-svn,DomainFacadeImpl,Facade
pcgen-svn,EquipmentListFacadeImpl,Facade
pcgen-svn,EquipmentSetFacadeImpl,Facade
pcgen-svn,FacadeFactory,Facade
pcgen-svn,LanguageChooserFacadeImpl,Facade
pcgen-svn,CharacterFacadeImpl,Facade
pcgen-svn,PartyFacadeImpl,Facade
pcgen-svn,SpellSupportFacadeImpl,Facade
pcgen-svn,GeneralChooserFacadeBase,Facade
pcgen-svn,SpellFacadeImplem,Facade
